Customer ID,Age,Age Group,Gender,Item Purchased,Category,Purchase Amount (USD),PA Group,Location,Size,Color,Season,Review Rating,Rating Group,Subscription Status,Payment Method,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Preferred Payment Method,Frequency of Purchases
1,55,Mid Aged,Male,Blouse,Clothing,53,Mid Cost,Kentucky,L,Gray,Winter,3.1,Good,Yes,Credit Card,Express,Yes,Yes,14,Venmo,Fortnightly
2,19,Adult,Male,Sweater,Clothing,64,Mid Cost,Maine,L,Maroon,Winter,3.1,Good,Yes,Bank Transfer,Express,Yes,Yes,2,Cash,Fortnightly
3,50,Mid Aged,Male,Jeans,Clothing,73,High Cost,Massachusetts,S,Maroon,Spring,3.1,Good,Yes,Cash,Free Shipping,Yes,Yes,23,Credit Card,Weekly
4,21,Adult,Male,Sandals,Footwear,90,High Cost,Rhode Island,M,Maroon,Spring,3.5,Good,Yes,PayPal,Next Day Air,Yes,Yes,49,PayPal,Weekly
5,45,Mid Aged,Male,Blouse,Clothing,49,Mid Cost,Oregon,M,Turquoise,Spring,2.7,Bad,Yes,Cash,Free Shipping,Yes,Yes,31,PayPal,Annually
6,46,Mid Aged,Male,Sneakers,Footwear,20,Low cost,Wyoming,M,White,Summer,2.9,Bad,Yes,Venmo,Standard,Yes,Yes,14,Venmo,Weekly
7,63,Senior Citizen,Male,Shirt,Clothing,85,High Cost,Montana,M,Gray,Fall,3.2,Good,Yes,Debit Card,Free Shipping,Yes,Yes,49,Cash,Quarterly
8,27,Adult,Male,Shorts,Clothing,34,Low cost,Louisiana,L,Charcoal,Winter,3.2,Good,Yes,Debit Card,Free Shipping,Yes,Yes,19,Credit Card,Weekly
9,26,Adult,Male,Coat,Outerwear,97,High Cost,West Virginia,L,Silver,Summer,2.6,Bad,Yes,Venmo,Express,Yes,Yes,8,Venmo,Annually
10,57,Mid Aged,Male,Handbag,Accessories,31,Low cost,Missouri,M,Pink,Spring,4.8,Excellent,Yes,PayPal,2-Day Shipping,Yes,Yes,4,Cash,Quarterly
11,53,Mid Aged,Male,Shoes,Footwear,34,Low cost,Arkansas,L,Purple,Fall,4.1,Excellent,Yes,Credit Card,Store Pickup,Yes,Yes,26,Bank Transfer,Bi-Weekly
12,30,Mid Adult,Male,Shorts,Clothing,68,Mid Cost,Hawaii,S,Olive,Winter,4.9,Excellent,Yes,PayPal,Store Pickup,Yes,Yes,10,Bank Transfer,Fortnightly
13,61,Senior Citizen,Male,Coat,Outerwear,72,High Cost,Delaware,M,Gold,Winter,4.5,Excellent,Yes,PayPal,Express,Yes,Yes,37,Venmo,Fortnightly
14,65,Senior Citizen,Male,Dress,Clothing,51,Mid Cost,New Hampshire,M,Violet,Spring,4.7,Excellent,Yes,Debit Card,Express,Yes,Yes,31,PayPal,Weekly
15,64,Senior Citizen,Male,Coat,Outerwear,53,Mid Cost,New York,L,Teal,Winter,4.7,Excellent,Yes,PayPal,Free Shipping,Yes,Yes,34,Debit Card,Weekly
16,64,Senior Citizen,Male,Skirt,Clothing,81,High Cost,Rhode Island,M,Teal,Winter,2.8,Bad,Yes,Credit Card,Store Pickup,Yes,Yes,8,PayPal,Monthly
17,25,Adult,Male,Sunglasses,Accessories,36,Mid Cost,Alabama,S,Gray,Spring,4.1,Excellent,Yes,Venmo,Next Day Air,Yes,Yes,44,Debit Card,Bi-Weekly
18,53,Mid Aged,Male,Dress,Clothing,38,Mid Cost,Mississippi,XL,Lavender,Winter,4.7,Excellent,Yes,Debit Card,2-Day Shipping,Yes,Yes,36,Venmo,Quarterly
19,52,Mid Aged,Male,Sweater,Clothing,48,Mid Cost,Montana,S,Black,Summer,4.6,Excellent,Yes,Bank Transfer,Free Shipping,Yes,Yes,17,Cash,Weekly
20,66,Senior Citizen,Male,Pants,Clothing,90,High Cost,Rhode Island,M,Green,Summer,3.3,Good,Yes,Venmo,Standard,Yes,Yes,46,Debit Card,Bi-Weekly
21,21,Adult,Male,Pants,Clothing,51,Mid Cost,Louisiana,M,Black,Winter,2.8,Bad,Yes,Credit Card,Express,Yes,Yes,50,Cash,Every 3 Months
22,31,Mid Adult,Male,Pants,Clothing,62,Mid Cost,North Carolina,M,Charcoal,Winter,4.1,Excellent,Yes,Credit Card,Store Pickup,Yes,Yes,22,Debit Card,Quarterly
23,56,Mid Aged,Male,Pants,Clothing,37,Mid Cost,California,M,Peach,Summer,3.2,Good,Yes,Cash,Store Pickup,Yes,Yes,32,Debit Card,Annually
